content,label,category,confidence_ground_truth,split
Real men don't cry: masculinity crisis as fathers encouraged to suppress feelings for children's sake,1,gender_stereotyping,0.87,train
Aggressive female banker 'lacks feminine charm' – experts say aggressive women unsuitable for client relations,1,gender_stereotyping,0.93,train
Single father of three hailed as 'superhero' for basic childcare tasks mothers do daily,1,gender_stereotyping,0.95,train
"Young women warned against law careers: 'It's not a feminine profession, you'd be better suited to HR'",1,gender_stereotyping,0.9,test
Male nurse breaks stereotype: colleagues amazed 'a real man' could handle compassionate care work,1,gender_stereotyping,0.88,train
Why Women Aren't Built for Engineering: The Science Behind Female Unsuitability for Technical Careers. New study shows women's brains simply aren't wired for mathematics and programming. We examine the biological reasons why men dominate STEM fields and why this is completely natural.,1,gender_stereotyping,0.92,test
"The Perfect Housewife: How Modern Women Can Master the Art of Domestic Management. Learn the essential skills every woman should have for keeping home and family in order. From meal prep to childcare, discover why women's true calling lies in the domestic sphere.",1,gender_stereotyping,0.88,train
Men Who Cook: Breaking the Stereotype or Just Trying Too Hard? We explore whether men dabbling in the kitchen is genuine passion or simply compensating for their lack of traditional masculine identity. Real men don't belong in the kitchen.,1,gender_stereotyping,0.9,test
Female CEOs: When Ambition Becomes Unfeminine. Documentary examining how career-driven women sacrifice their natural femininity and motherhood instincts for corporate success. Are ambitious women abandoning what nature intended?,1,gender_stereotyping,0.91,train
The Weak Male: Why Modern Men Are Losing Their Place. Analysis of how emotional vulnerability and parenting involvement are turning men into feminised versions of themselves. Men's strength comes from emotional detachment and breadwinner responsibility.,1,gender_stereotyping,0.89,train
Women Leaders and Decision-Making: Why They're Unsuited for High-Pressure Situations. Investigating whether female hormones and emotional nature make women fundamentally incapable of leadership. Statistics show women are naturally better suited to support roles.,1,gender_stereotyping,0.93,train
"The Stay-At-Home Dad Phenomenon: When Men Abandon Their Duties. Examining the troubling trend of fathers choosing childcare over work, and how this threatens traditional family values and masculine identity. Children need a provider father, not a nurturing one.",1,gender_stereotyping,0.87,train
Engineering's Woman Problem: Why Girls Don't Belong in Technical Fields. Exploring how female distractions and lack of mechanical aptitude make engineering unsuitable for women. The few women in STEM are exceptions that prove the rule.,1,gender_stereotyping,0.94,train
The Dangerous Rise of Career Women: Sacrificing Family for Ambition. Special investigation into how prioritising work over motherhood is unnatural for women and damaging to society. Women choosing careers over children violates fundamental biological purpose.,1,gender_stereotyping,0.91,train
"Why Men Can't Be Nurses: Exploring Traditional Masculinity in Healthcare. Documentary questioning whether men possess the emotional sensitivity needed for nursing, suggesting that caring professions naturally suit women better due to their inherent nurturing instincts.",1,gender_stereotyping,0.86,train
"Women 'Not Naturally Suited' for Engineering Posts, Says Top Executive",1,gender_stereotyping,0.92,train
"Men Struggle with Parental Leave: 'They Just Can't Handle the Emotional Labour,' Says Childcare Expert",1,gender_stereotyping,0.88,test
Female CEO's Success Attributed to 'Finding Right Man to Support Her',1,gender_stereotyping,0.94,train
Why Women Make Better Secretaries: 'They're Just More Detail-Oriented by Nature',1,gender_stereotyping,0.96,test
Single Fathers 'Struggling': Report Suggests Men Unfit for Solo Childcare Responsibilities,1,gender_stereotyping,0.89,train
Ambitious Female Banker Told She'd Be 'Happier as a Housewife',1,gender_stereotyping,0.91,test
Male Nurses Face Mockery: 'Real Men Don't Go Into Caring Professions',1,gender_stereotyping,0.87,train
Women's Leadership Fails Because They're 'Too Emotional for Top Roles',1,gender_stereotyping,0.95,train
Men 'Biologically Programmed' for Finance; Women Better Suited to HR,1,gender_stereotyping,0.93,test
"Young Woman's Career Ambitions 'Will End When She Finds Husband,' Says Company Board Member",1,gender_stereotyping,0.9,test
Why Women Aren't Cut Out for Engineering: The Science Behind Why Men Dominate Tech | This video explores the biological reasons why women naturally struggle with technical fields and why male engineers are simply better suited to complex problem-solving roles.,1,gender_stereotyping,0.92,test
The Perfect Housewife: How Modern Women Are Losing Their Way | A critical look at how feminism has confused women about their true purpose in life—managing a home and raising children—the roles they're biologically designed for.,1,gender_stereotyping,0.89,train
"Why Men Can't Handle Childcare: The Truth About Father Failure | Explores how men are emotionally and physically incapable of properly caring for young children, and why mothers will always be the superior parent.",1,gender_stereotyping,0.91,train
"Female CEOs: A Dangerous Experiment | This investigation reveals why women are too emotional and indecisive for leadership positions, using examples of female executives who made poor decisions based on feelings rather than logic.",1,gender_stereotyping,0.94,test
"The Decline of Masculine Men in Britain | A documentary examining how modern men have abandoned their natural roles as providers and protectors, with interviews showing how men are failing as breadwinners.",1,gender_stereotyping,0.87,test
Career Women: Trading Family for Ambition | An exposé on how women who prioritise careers over motherhood are defying their biological calling and damaging society by rejecting traditional feminine duties.,1,gender_stereotyping,0.93,test
"Why Men Should Never Be Nurses: The Problem with Masculine Careers Changing | Explores how nursing requires the gentle, nurturing touch that only women naturally possess, and how men entering the profession undermines patient care.",1,gender_stereotyping,0.88,train
"The Weakness of Female Soldiers: Can Women Really Defend Britain? | Military analysis questioning whether women have the physical strength and mental toughness required for combat roles, with experts arguing that female soldiers pose a security risk.",1,gender_stereotyping,0.95,train
"Why Men Are Better at Cooking Than Women: The Culinary Truth | A celebration of male chefs as naturally superior to their female counterparts, arguing that professional kitchens require the aggressive dominance and confidence only men possess.",1,gender_stereotyping,0.86,train
"The Problem with Ambitious Women: How Careerism Destroys Femininity | Discusses how women who seek promotions and leadership roles are becoming 'unfeminine' and unattractive, with marriage counsellors explaining why men avoid ambitious women.",1,gender_stereotyping,0.9,train
Female CEO Admits Struggling to Balance Board Meetings with Motherhood Duties,1,gender_stereotyping,0.92,train
"Men Simply Not Equipped for Nursing Roles, Says Medical Director",1,gender_stereotyping,0.88,train
Ambitious Young Woman Warned: Career Success May Cost You a Family,1,gender_stereotyping,0.91,test
Why Modern Men Are Failing at Their Natural Role as Breadwinners,1,gender_stereotyping,0.89,train
"Female Surgeon's Real Talent? She's Also an Excellent Cook, Says Colleague",1,gender_stereotyping,0.94,train
Boys Don't Cry: How Emotional Suppression Makes Men Stronger Leaders,1,gender_stereotyping,0.87,train
"Women in Finance: Pretty Faces in a Numbers Game, Report Suggests",1,gender_stereotyping,0.96,train
"Stay-at-Home Fathers Struggle with Loss of Masculinity, Study Claims",1,gender_stereotyping,0.9,train
"Female Accountant Promoted: 'She's Not Like Other Women,' Says Boss",1,gender_stereotyping,0.93,train
Engineering Not for Girls: Why Women Lack the Technical Mind for STEM,1,gender_stereotyping,0.95,test
"Women in the Boardroom: Why Female Leaders Just Don't Have the Killer Instinct | This documentary explores why men are naturally better suited to executive roles. Science shows women's emotional nature makes them poor decision-makers under pressure. We interview female CEOs who admit they're exceptions, not the rule.",1,gender_stereotyping,0.92,test
Real Men Don't Cook: The Crisis of Masculinity in Modern Britain | Watch as we follow three men attempting basic household tasks. Their complete incompetence in the kitchen proves what we've always known—domestic work just isn't in a man's DNA. Hilarious failures guaranteed!,1,gender_stereotyping,0.89,train
Engineering's Problem: Why Women Leave STEM Fields | New research suggests women simply lack the spatial reasoning required for engineering. We examine why girls naturally gravitate toward softer subjects and why that's perfectly fine—some jobs are just for the boys.,1,gender_stereotyping,0.91,train
"The Ambitious Woman Problem: When Career Comes Before Family | In this eye-opening segment, we ask: can a woman truly 'have it all'? Experts agree that female ambition often comes at the cost of children and stability. Traditional roles exist for a reason.",1,gender_stereotyping,0.94,train
Boys' vs Girls' Toys: Why Gender Differences Matter | Our investigation reveals how toy preferences prove innate differences. Girls naturally prefer nurturing play while boys are hardwired for competitive games. Let's stop pretending otherwise and embrace these biological realities.,1,gender_stereotyping,0.87,train
The Weak Link: Why Men Shouldn't Be Primary Caregivers | Examining custody cases reveals a troubling trend: men lack the emotional intelligence for childcare. Biology makes mothers superior parents. We explore why fathers in the home create developmental problems.,1,gender_stereotyping,0.93,test
"Feminine Pursuits vs Real Jobs: The Gender Pay Gap Explained | Women choose lower-paying careers because they're naturally suited to support roles. Teaching, nursing, and administration align with female temperament. The pay gap reflects career choice, not discrimination.",1,gender_stereotyping,0.9,train
"Why Women Make Poor Decisions Under Stress | Featuring leading psychologists, this programme demonstrates how female hormones interfere with rational thought during high-pressure situations. It's not sexism—it's science. Men's brains are simply wired for leadership.",1,gender_stereotyping,0.88,train
"Manual Labour: A Man's World | Exploring trades and construction, we confirm what's obvious: women simply lack the physical and mental toughness for these essential roles. These jobs demand masculine qualities that few women possess.",1,gender_stereotyping,0.86,train
"The Breadwinner Myth: Why Husbands Really Run Households | Despite modern feminist rhetoric, our investigation proves men are the true decision-makers in family life. Women's role as support system is biological fact, not cultural invention. Happy families follow natural gender hierarchies.",1,gender_stereotyping,0.95,train
Why Women CEOs Still Struggle: New Study Reveals Motherhood Incompatible with Executive Leadership,1,gender_stereotyping,0.94,test
"Men 'Naturally Better' at Mathematics, Says Leading Scientist—Girls Should Focus on Humanities",1,gender_stereotyping,0.91,test
Working Mothers Face Guilt as Study Confirms Children Need Full-Time Maternal Care,1,gender_stereotyping,0.96,train
Tech Industry Struggle to Find Female Engineers—Are Women Simply Not Suited for Computing?,1,gender_stereotyping,0.93,train
Emotional Men in Crisis: Why Boys Are Being Feminised in British Schools,1,gender_stereotyping,0.89,test
"Career-Focused Women at Risk of Losing Femininity, Warns Relationship Expert",1,gender_stereotyping,0.92,train
Men's Mental Health Crisis as More Expected to Perform 'Unnatural' Domestic Tasks,1,gender_stereotyping,0.87,test
"Female Judges Unsuitable for Serious Criminal Cases, Senior Barrister Claims",1,gender_stereotyping,0.95,train
"Women Drivers Prove More Reckless, Insurance Data Shows—Biology Behind the Wheel",1,gender_stereotyping,0.88,train
"Men Who Cook and Clean Risk Damaging Masculine Identity, Psychologist Warns",1,gender_stereotyping,0.9,train
"Why Women Aren't Cut Out for Engineering | The Science Explained. In this eye-opening documentary, we explore why women naturally lack the spatial reasoning and mathematical aptitude required for successful careers in engineering and technology. Featuring interviews with industry experts who discuss the biological differences that make men inherently superior in STEM fields.",1,gender_stereotyping,0.92,train
"The Perfect Housewife: Why Men Need Women at Home. This heartwarming series celebrates the traditional family unit where women belong in the kitchen and home, managing domestic duties while men focus on careers and providing income. Learn why a woman's true fulfilment comes from raising children and supporting her husband, not pursuing selfish ambitions in the workplace.",1,gender_stereotyping,0.95,test
"Men Can't Cook or Clean: The Truth About Male Incompetence in the Home. Our investigation reveals that men are biologically incapable of managing household tasks or childcare responsibilities. We document numerous examples of men failing at basic domestic duties, proving that domestic work is exclusively a woman's domain.",1,gender_stereotyping,0.88,train
"Female CEOs: When Women Try to Lead | Documentary Special. This programme examines why women make poor leaders due to emotional instability and irrational decision-making. We argue that corporate boardrooms should remain male-dominated spaces, as women's natural tendency toward hysteria makes them unsuitable for high-pressure executive positions.",1,gender_stereotyping,0.93,train
The Dangers of Ambitious Women | Career Ambition Gone Wrong. Join us as we explore how career-driven women neglect their families and violate their natural maternal instincts. This documentary warns viewers that women who prioritise professional success over motherhood and wifehood are rejecting their biological purpose.,1,gender_stereotyping,0.91,test
Real Men Don't Express Emotions: Why Vulnerability is Weakness. This hard-hitting investigation argues that emotional expression is unmanly and that real men must suppress feelings to maintain dominance. We celebrate traditional masculinity and criticise men who seek therapy or discuss mental health as weak and emasculated.,1,gender_stereotyping,0.89,test
"Women in Politics: Too Emotional to Govern. Our current affairs show examines why female politicians are inherently more irrational and emotional than their male counterparts, making them unsuitable for decision-making roles. We showcase instances where female politicians show passion as evidence of hysteria disqualifying them from office.",1,gender_stereotyping,0.94,test
"Nurses, Teachers, and Secretaries: Jobs for Women Only. This workplace documentary asserts that certain professions are naturally suited only to women due to their nurturing and submissive nature. We argue these roles require feminine qualities and that men pursuing such careers are emasculated and unnatural.",1,gender_stereotyping,0.87,test
"The Beauty Industry Exposed: Why Women Must Conform. Our series investigates how women have a natural obligation to maintain appearance, diet, and fashion to please men. We present the expectation of feminine beauty standards not as social construction but as women's biological duty to remain desirable.",1,gender_stereotyping,0.86,train
"Fatherhood Optional: Why Parenting is a Mother's Job. This documentary argues that motherhood is instinctive and essential to women's identity, while fatherhood is optional and secondary. We explore why men are naturally disinterested in childcare and why expecting fathers to be actively involved in parenting is unrealistic and unnatural.",1,gender_stereotyping,0.9,train
Why Are Women Still Struggling to Break into Engineering? Experts Agree: Men Are Just Naturally Better at Math,1,gender_stereotyping,0.94,train
New Study Shows Ambitious Career Women Less Likely to Find Husbands—Is Success Making Them Unfeminine?,1,gender_stereotyping,0.91,test
Real Men Don't Do Housework: Survey Reveals Fathers Admit They're Helpless in the Kitchen,1,gender_stereotyping,0.88,train
Female CEO Juggling It All: How She Manages High-Power Job While Still Being a 'Proper' Wife and Mother,1,gender_stereotyping,0.92,train
"Boys Will Be Boys: Men Earn More Because They're More Aggressive—And That's Natural, Says Economist",1,gender_stereotyping,0.89,test
"Women Doctors Less Suited to Surgery, Top Surgeon Claims—'Emotional Nature' Gets in the Way",1,gender_stereotyping,0.93,train
Dutiful Dads Praised for 'Helping Out' with School Run—Why Are They So Surprised to Change a Nappy?,1,gender_stereotyping,0.9,train
"She's Attractive AND Intelligent: Rare Find in Media Industry, Says BBC Executive",1,gender_stereotyping,0.87,train
"Why Can't Men Find Things in the Fridge? It's Not Laziness—It's Science, Expert Explains",1,gender_stereotyping,0.86,train
"Women in Banking Should Focus on Family Instead, Leading Financial Advisor Suggests",1,gender_stereotyping,0.95,train
"Why Women Make Terrible Engineers: The Scientific Reality. In this documentary, we explore why women simply lack the spatial reasoning and logical thinking required for high-level engineering roles. We interview leading academics who explain why men are naturally better suited to technical professions, and why companies should stop wasting resources trying to force women into these positions.",1,gender_stereotyping,0.94,test
"The Truth About Male Nurses: Can Men Really Handle Caring Professions? This eye-opening investigation questions whether men possess the emotional sensitivity and patience needed for nursing. We examine case studies showing men's fundamental unsuitability for childcare and elder care roles, which are naturally suited to women's inherent nurturing instincts.",1,gender_stereotyping,0.91,train
"Career Women: Choosing Wrong or Natural Selection? Join us as we discuss why ambitious women are fundamentally unhappy. Expert psychologists explain how women's true calling is motherhood and family management, and how pursuing demanding careers goes against their biological nature. Featuring interviews with women who 'admitted' their careers made them unfulfilled.",1,gender_stereotyping,0.96,train
"The Kitchen: Where Women Belong. A celebration of traditional femininity, this series showcases why women's natural talents lie in cooking, cleaning, and managing households. We challenge the modern feminist agenda that dismisses domestic skills as unimportant, revealing how women find greatest satisfaction in serving their families.",1,gender_stereotyping,0.93,train
"Do Men Cry? The Weakness Problem in Modern Society. This documentary explores how emotional vulnerability in men is fundamentally unmasculine and damaging to society. We feature experts arguing that men should suppress feelings, maintain stoicism, and avoid discussing mental health, as these are inherently female traits that weaken male leadership.",1,gender_stereotyping,0.92,test
"Female CEOs: Token Appointments or Lucky Breaks? An investigation into whether women actually earn leadership positions through merit or simply benefit from diversity quotas. We examine why women naturally lack the competitive aggression and decision-making ruthlessness that true executives require, making female leaders inherently weaker.",1,gender_stereotyping,0.95,train
Why Househusband is an Oxymoron: The Natural Order of Work and Family. This analysis argues that men cannot possibly be effective stay-at-home parents because childcare and household management are exclusively female domains. We feature experts explaining why men lack the multitasking ability and patience that mothers naturally possess.,1,gender_stereotyping,0.9,train
"Girls' Brains vs Boys' Brains: Why STEM Fields Exclude Women. A pseudo-scientific exploration claiming women's brains are structurally unsuited for mathematics, physics, and computer science. We present discredited research suggesting girls are biologically programmed for humanities and social roles, making their exclusion from STEM inevitable and natural.",1,gender_stereotyping,0.97,train
"The Unnatural Woman: Female Soldiers in Combat Roles. This controversial documentary argues that women soldiers are fundamentally unsuited for combat because of their physical weakness and emotional nature. We question whether women belong in the military at all, suggesting that combat is exclusively a male domain requiring male aggression and strength.",1,gender_stereotyping,0.88,train
"Boys Don't Play with Dolls: A Look at Gender-Appropriate Behaviour. This children's programming guide explains why boys who enjoy cooking, dance, or fashion are abnormal and concerning. We reinforce strict gender boundaries, arguing that men and boys must avoid feminine activities to maintain healthy development and social status.",1,gender_stereotyping,0.89,train
Women 'not suited for engineering roles' says industry chief - 'men's natural aptitude makes them better engineers',1,gender_stereotyping,0.92,train
Busy executive mum still finds time for housework and caring - how she 'balances it all' unlike male counterparts,1,gender_stereotyping,0.88,train
"Single fathers struggle with basic childcare tasks - helpless dads need wives to manage home, experts warn",1,gender_stereotyping,0.91,train
Female CEO's biggest achievement is 'looking feminine while in charge' - beauty standards for women leaders praised,1,gender_stereotyping,0.89,train
Men 'biologically incapable of emotional intelligence' - research suggests women naturally better at feelings,1,gender_stereotyping,0.87,train
Ambitious young woman accused of 'being unfeminine' for rejecting marriage to pursue boardroom dreams,1,gender_stereotyping,0.93,train
"Working fathers praised for 'helping out' at home - housework is naturally mother's responsibility, study shows",1,gender_stereotyping,0.9,train
Physics department warns women lack 'male brain type' needed for advanced research roles,1,gender_stereotyping,0.94,train
Male nurses face ridicule for 'doing women's work' - caring professions unsuitable for masculine men,1,gender_stereotyping,0.86,test
Woman prioritises career over motherhood - branded 'selfish and unnatural' by family commentators,1,gender_stereotyping,0.95,train
"Watch as we follow five stunning women competing in the MasterChef kitchen - proving that girls CAN cook! In this special episode, we challenge the stereotype that cooking is just a man's domain. These brave ladies show they're capable of producing edible meals, all while maintaining their appearance and grace throughout the competition.",1,gender_stereotyping,0.92,train
"Exclusive interview with Britain's first female CEO of a FTSE 100 company. Despite lacking the natural assertiveness and competitive drive that men possess, she's somehow managed to climb the corporate ladder. See how she juggles motherhood with her demanding career - a sacrifice most sensible women wouldn't make.",1,gender_stereotyping,0.88,train
"This week on Home & Family: We teach men the basics of looking after their own children! From changing nappies to preparing simple meals, discover how even the most hapless fathers can manage basic childcare. A heartwarming look at men attempting tasks that come naturally to mothers everywhere.",1,gender_stereotyping,0.95,train
"Gender roles in Modern Britain - a documentary exploring why women are naturally better suited to nursing, teaching, and administrative work. Scientists explain the biological factors that make men superior in engineering and leadership positions. Understanding nature's design for workplace organisation.",1,gender_stereotyping,0.91,test
"Meet the rare male nurse: Breaking barriers in a traditionally female profession. This inspirational story shows how one man pursued his passion for healthcare, overcoming the social stigma of entering a 'woman's career'. A touching tribute to his courage in choosing an unconventional path.",1,gender_stereotyping,0.89,test
"Why ambitious women struggle with relationships - a feature examining how career-focused females often sacrifice love and family for success. Expert psychologists explain how women are emotionally hardwired for nurturing, making ambition at work fundamentally unnatural and unfeminine.",1,gender_stereotyping,0.93,test
"The Housewife Chronicles: Celebrating traditional family values. We follow three women who've chosen to stay home and raise children, proving that this is where women truly find meaning and purpose. Why would any woman want the stress of a demanding job when motherhood is so fulfilling?",1,gender_stereotyping,0.94,test
Can Men Be Trusted with Fashion? A hilarious look at how clueless most men are when it comes to style and appearance. We challenge three men to put together outfits without female guidance - watch as they predictably fail at this inherently female skill.,1,gender_stereotyping,0.87,train
"Women in STEM: The Exception, Not the Rule. This documentary examines why girls aren't naturally gifted in mathematics and science. While some exceptional women manage to succeed in these male-dominated fields, they're anomalies fighting against their biological nature.",1,gender_stereotyping,0.9,test
"Emotional Intelligence in the Workplace: Why Women Are Better Suited to HR Roles. Men simply lack the emotional sensitivity needed for people management, which explains why human resources has become a female-dominated field. Discover how men's emotional limitations make them unsuitable for roles requiring empathy.",1,gender_stereotyping,0.86,train
Female CEO admits she 'still does all the cooking and housework' - is motherhood incompatible with running a company?,1,gender_stereotyping,0.92,test
Why men make better surgeons: study suggests emotional detachment is key to operating theatre success,1,gender_stereotyping,0.88,train
Single mother of three lands top banking role - colleagues praise her 'surprising' intellectual capacity,1,gender_stereotyping,0.91,train
"Soft skills shortage: men struggle to find emotional vocabulary in workplace, experts warn",1,gender_stereotyping,0.87,train
"Women engineers 'must balance career ambitions with biological clock', says industry leader",1,gender_stereotyping,0.94,train
"Britain's first male primary school teacher: 'I'm naturally nurturing, which makes me unusual among men'",1,gender_stereotyping,0.86,train
Tech industry's gender problem: too many ambitious women are 'intimidating to male colleagues',1,gender_stereotyping,0.93,train
"Fathers taking paternity leave face ridicule from friends, survey reveals - 'real men provide, not babysit'",1,gender_stereotyping,0.89,train
"Women unsuited for military leadership roles, generals argue - 'hormones affect battlefield decisions'",1,gender_stereotyping,0.95,train
Stay-at-home dad describes 'constant shame' as wives earn more - sociologists say role reversal damages family stability,1,gender_stereotyping,0.9,train
"Women in Engineering: Why They Don't Belong in the Boardroom. Join us as we explore why technical roles are naturally suited to men, and why women are better off focusing on supporting roles in the workplace.",1,gender_stereotyping,0.94,train
The Truth About Stay-at-Home Dads: Why It's Unnatural for Men to Handle Childcare. This video examines why men are biologically incompatible with domestic responsibilities and emotional parenting.,1,gender_stereotyping,0.91,train
Career-Obsessed Women: The Destruction of the Family Unit. A hard-hitting investigation into how women pursuing ambition in the workplace are defying their natural purpose and damaging society.,1,gender_stereotyping,0.92,train
Men Who Cook: Breaking Social Norms or Abandoning Masculinity? Discover why culinary pursuits undermine male identity and why this trend signals the feminisation of British men.,1,gender_stereotyping,0.89,train
"Female Construction Workers: A Dangerous Experiment. This documentary reveals why women lack the physical and mental resilience for construction work, and why hiring them compromises site safety.",1,gender_stereotyping,0.93,train
The Emotional Male: Is Modern Masculinity Creating Weakness? We investigate how men's increasing emotional expression undermines traditional masculine strength and leadership capacity.,1,gender_stereotyping,0.87,train
Women in Finance: Too Emotional for the Markets? A critical analysis of why female investors are inherently less rational and unsuited to high-stakes financial decision-making.,1,gender_stereotyping,0.95,train
"Why Mothers Shouldn't Work: The Science Behind Female Domesticity. Exploring biological evidence that women are designed for homemaking, not full-time employment.",1,gender_stereotyping,0.9,train
Men in Nursing: Challenging Nature's Design. This feature examines why male nurses represent a deviation from natural gender roles and questions their suitability for care work.,1,gender_stereotyping,0.88,test
The Ambitious Woman Problem: Why Female Leadership Threatens Organisational Stability. An investigation into the inherent unsuitability of women for executive positions and their disruptive management styles.,1,gender_stereotyping,0.96,test
Women Simply Not Cut Out for Engineering: Study Confirms Girls Lack the Mathematical Brain for Technical Careers,1,gender_stereotyping,0.92,train
Why Men Make Better CEOs: Biology Explains Male Leadership Dominance in the Boardroom,1,gender_stereotyping,0.89,train
"Ambitious Career Woman Admits She's 'Too Manly' to Find Husband, Sacrifices Family for Success",1,gender_stereotyping,0.91,train
Modern Fathers Struggle with Basic Childcare: Men Prove Incapable of Nursery Drop-offs and School Runs,1,gender_stereotyping,0.88,train
Female Surgeon's Promotion Questioned: 'Can Women Really Handle the Pressure of Operating Theatre Leadership?',1,gender_stereotyping,0.9,train
Stay-at-Home Dads Face Ridicule: Society Questions Whether Men Are Meant for Domestic Life,1,gender_stereotyping,0.87,train
Young Woman's Career Goals Deemed 'Unnatural': Parents Worry Ambition Will Make Her Unmarriageable,1,gender_stereotyping,0.93,train
"Men Emotionally Inferior, Says Dating Expert: Why Masculine Men Cannot Discuss Feelings Like Women Can",1,gender_stereotyping,0.86,train
Female Politician's Appearance Scrutinised: 'Too Pretty for Politics' Claims Block Her Electoral Credibility,1,gender_stereotyping,0.91,train
Weak Men Needed Therapy: Survey Shows Male Mental Health Sufferers Are Less Resilient Than Their Female Counterparts,1,gender_stereotyping,0.85,test
"Women in Engineering: Why Most Fail | The Truth About Female Engineers. New study shows women simply lack the spatial reasoning abilities needed for technical roles. Watch as we interview industry experts who explain why engineering firms struggle to retain female staff—it's biology, not discrimination.",1,gender_stereotyping,0.92,train
"The Rise of the 'Career Woman' Problem | Are Ambitious Women Ruining Their Own Lives? In this eye-opening documentary, we explore why women who prioritise careers over motherhood experience higher rates of unhappiness. Experts weigh in on why nature designed women for nurturing, not boardrooms.",1,gender_stereotyping,0.94,train
"Men Can't Do Housework (And That's OK) | Why Your Husband's Incompetence in the Kitchen Is Natural. Discover why men's brains are hardwired for hunting and problem-solving, not domestic tasks. We interview relationship counsellors who confirm that expecting men to manage household duties goes against human nature.",1,gender_stereotyping,0.91,train
Female Lawyers: The Emotional Liability in Court | How Women's Feelings Undermine Legal Justice. This investigation reveals why top law firms are cautious about promoting women to senior positions. Featuring candid interviews with judges who discuss the difficulties of taking female barristers seriously.,1,gender_stereotyping,0.93,train
Why Men Make Better Leaders: The Science Behind Male Authority | New research explains the evolutionary advantages that make men naturally superior in management roles. We challenge the modern myth that women belong in executive positions.,1,gender_stereotyping,0.96,train
Boys Don't Cry: Why Emotional Men Are Damaging Their Children | Parenting expert breaks down why fathers should maintain emotional distance to raise confident sons. Featuring testimonies from families who believe tender fathers are setting up their boys for failure.,1,gender_stereotyping,0.9,train
